battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
1166.0,0.0,1.5,1.0,0.0,1.0,43.0,0.8,80.0,4.0,1.0,205.0,603.0,3993.0,7.0,1.0,7.0,1.0,1.0,0.0,3.0
1448.0,1.0,0.5,1.0,6.0,1.0,45.0,0.8,138.0,7.0,11.0,570.0,1724.0,3378.0,13.0,11.0,2.0,1.0,1.0,1.0,3.0
1407.0,1.0,2.4,0.0,1.0,1.0,22.0,0.7,104.0,4.0,4.0,1172.0,1217.0,2192.0,9.0,7.0,13.0,1.0,0.0,1.0,2.0
605.0,0.0,1.0,0.0,8.0,1.0,9.0,0.1,142.0,3.0,16.0,160.0,1026.0,392.0,15.0,6.0,4.0,1.0,0.0,0.0,0.0
1038.0,0.0,1.2,0.0,3.0,0.0,43.0,0.7,141.0,1.0,5.0,4.0,638.0,3709.0,11.0,0.0,12.0,1.0,1.0,1.0,3.0
797.0,1.0,2.9,1.0,4.0,0.0,38.0,0.5,90.0,4.0,6.0,763.0,1413.0,590.0,9.0,2.0,6.0,0.0,1.0,0.0,0.0
819.0,0.0,0.6,1.0,8.0,1.0,42.0,0.9,188.0,6.0,20.0,339.0,1242.0,1814.0,5.0,4.0,13.0,1.0,0.0,1.0,1.0
1114.0,0.0,2.8,0.0,4.0,1.0,9.0,0.4,197.0,3.0,15.0,1040.0,1071.0,907.0,10.0,7.0,17.0,1.0,1.0,0.0,0.0
1234.0,1.0,1.6,1.0,1.0,0.0,33.0,0.6,172.0,1.0,3.0,166.0,778.0,1449.0,11.0,7.0,6.0,0.0,0.0,1.0,0.0
1199.0,1.0,2.5,1.0,15.0,1.0,16.0,0.2,116.0,4.0,20.0,1168.0,1552.0,3448.0,17.0,13.0,10.0,1.0,0.0,1.0,3.0
1103.0,0.0,1.0,1.0,6.0,0.0,29.0,0.7,111.0,6.0,8.0,990.0,1486.0,1837.0,8.0,7.0,16.0,0.0,1.0,1.0,1.0
1589.0,1.0,0.6,1.0,0.0,1.0,58.0,0.9,85.0,7.0,7.0,319.0,1206.0,3464.0,19.0,10.0,6.0,1.0,1.0,1.0,3.0
999.0,0.0,2.9,1.0,11.0,1.0,64.0,0.2,199.0,4.0,19.0,1397.0,1616.0,2593.0,14.0,11.0,16.0,1.0,1.0,0.0,2.0
1510.0,1.0,0.9,1.0,2.0,0.0,45.0,0.9,180.0,5.0,3.0,708.0,1752.0,3484.0,9.0,6.0,11.0,0.0,1.0,1.0,3.0
1008.0,0.0,0.8,0.0,11.0,0.0,61.0,1.0,114.0,3.0,15.0,1077.0,1122.0,2009.0,10.0,3.0,11.0,1.0,0.0,0.0,1.0
1127.0,1.0,2.9,1.0,5.0,1.0,57.0,0.8,163.0,1.0,13.0,928.0,1049.0,2048.0,11.0,5.0,17.0,1.0,1.0,1.0,1.0
1412.0,1.0,2.4,0.0,5.0,0.0,25.0,0.8,96.0,8.0,17.0,516.0,1894.0,837.0,15.0,9.0,4.0,0.0,0.0,1.0,1.0
1496.0,1.0,2.0,1.0,4.0,0.0,42.0,0.5,182.0,5.0,5.0,96.0,741.0,854.0,16.0,0.0,7.0,0.0,1.0,1.0,0.0
1083.0,1.0,2.9,1.0,1.0,1.0,64.0,0.8,178.0,3.0,11.0,1025.0,1118.0,3210.0,13.0,3.0,4.0,1.0,0.0,0.0,3.0
668.0,0.0,0.5,1.0,0.0,0.0,3.0,0.1,155.0,5.0,13.0,666.0,1203.0,2746.0,9.0,5.0,8.0,1.0,1.0,1.0,2.0
1309.0,0.0,1.1,1.0,0.0,0.0,33.0,0.5,100.0,4.0,14.0,557.0,1402.0,2334.0,10.0,1.0,11.0,1.0,0.0,1.0,2.0
1724.0,0.0,2.0,1.0,2.0,1.0,57.0,0.5,177.0,3.0,5.0,1605.0,1924.0,2822.0,19.0,3.0,16.0,1.0,1.0,0.0,3.0
1977.0,1.0,2.0,1.0,7.0,1.0,54.0,1.0,171.0,7.0,18.0,1226.0,1242.0,1971.0,18.0,7.0,14.0,1.0,1.0,0.0,2.0
885.0,0.0,2.3,1.0,0.0,1.0,15.0,0.4,103.0,7.0,0.0,769.0,802.0,1410.0,16.0,10.0,5.0,1.0,1.0,1.0,0.0
879.0,1.0,2.5,0.0,11.0,1.0,14.0,0.7,83.0,6.0,15.0,403.0,1105.0,349.0,16.0,10.0,2.0,1.0,0.0,1.0,0.0
1322.0,0.0,1.7,1.0,6.0,0.0,7.0,0.8,140.0,3.0,9.0,177.0,1990.0,1418.0,19.0,17.0,12.0,0.0,1.0,0.0,1.0
1137.0,1.0,1.0,0.0,18.0,0.0,7.0,1.0,196.0,3.0,19.0,942.0,1179.0,3616.0,13.0,5.0,12.0,1.0,1.0,1.0,3.0
1355.0,0.0,2.3,0.0,10.0,1.0,23.0,0.2,132.0,5.0,16.0,651.0,891.0,880.0,19.0,4.0,8.0,1.0,1.0,0.0,0.0
1665.0,1.0,0.5,0.0,3.0,1.0,60.0,0.2,194.0,6.0,18.0,1572.0,1684.0,1601.0,18.0,17.0,14.0,1.0,0.0,0.0,2.0
657.0,0.0,2.5,0.0,0.0,0.0,37.0,0.7,141.0,2.0,1.0,476.0,961.0,1412.0,14.0,3.0,18.0,0.0,1.0,0.0,0.0
593.0,0.0,0.5,0.0,6.0,0.0,31.0,0.4,156.0,7.0,7.0,1233.0,1317.0,1692.0,6.0,2.0,7.0,1.0,0.0,0.0,1.0
1883.0,1.0,0.5,0.0,3.0,1.0,10.0,0.3,146.0,6.0,13.0,836.0,1739.0,2600.0,16.0,8.0,20.0,1.0,0.0,0.0,3.0
1732.0,1.0,1.1,0.0,4.0,1.0,12.0,0.8,119.0,8.0,9.0,824.0,881.0,1308.0,16.0,7.0,11.0,1.0,0.0,1.0,1.0
543.0,0.0,0.5,0.0,0.0,0.0,57.0,0.7,192.0,5.0,4.0,391.0,984.0,2413.0,17.0,14.0,15.0,1.0,0.0,0.0,1.0
1939.0,1.0,2.8,1.0,0.0,1.0,55.0,0.6,199.0,4.0,10.0,320.0,520.0,1047.0,14.0,10.0,18.0,1.0,1.0,0.0,0.0
553.0,0.0,2.4,1.0,1.0,1.0,8.0,0.5,121.0,7.0,3.0,325.0,902.0,1204.0,11.0,4.0,8.0,1.0,1.0,1.0,0.0
832.0,0.0,0.7,1.0,2.0,1.0,39.0,0.7,103.0,4.0,3.0,125.0,1504.0,1799.0,5.0,2.0,11.0,1.0,0.0,1.0,1.0
1661.0,0.0,1.9,1.0,5.0,0.0,23.0,1.0,172.0,5.0,10.0,846.0,1634.0,2676.0,12.0,6.0,11.0,0.0,1.0,1.0,3.0
1657.0,1.0,2.4,0.0,3.0,0.0,42.0,0.1,198.0,5.0,16.0,1770.0,1796.0,2597.0,18.0,1.0,14.0,1.0,0.0,0.0,3.0
1135.0,1.0,2.0,1.0,0.0,0.0,46.0,0.3,83.0,1.0,4.0,293.0,1846.0,3029.0,19.0,17.0,9.0,1.0,1.0,1.0,3.0
1775.0,1.0,1.5,0.0,3.0,0.0,41.0,0.1,163.0,1.0,7.0,1633.0,1869.0,2343.0,19.0,13.0,14.0,1.0,1.0,1.0,3.0
783.0,0.0,1.8,1.0,0.0,1.0,43.0,1.0,106.0,3.0,4.0,1198.0,1471.0,2016.0,16.0,4.0,18.0,1.0,1.0,0.0,1.0
617.0,1.0,2.3,0.0,0.0,0.0,32.0,0.5,199.0,7.0,20.0,768.0,874.0,2213.0,18.0,13.0,7.0,0.0,0.0,0.0,1.0
867.0,0.0,1.4,1.0,0.0,1.0,4.0,0.7,135.0,6.0,1.0,70.0,1974.0,790.0,13.0,6.0,3.0,1.0,1.0,0.0,0.0
1310.0,1.0,1.1,1.0,13.0,0.0,7.0,1.0,194.0,5.0,14.0,117.0,513.0,3182.0,8.0,4.0,5.0,1.0,1.0,0.0,2.0
1804.0,0.0,0.5,0.0,9.0,1.0,22.0,0.6,153.0,7.0,19.0,1158.0,1244.0,3472.0,9.0,1.0,20.0,1.0,0.0,1.0,3.0
1900.0,1.0,2.3,0.0,1.0,1.0,18.0,0.2,89.0,7.0,9.0,1055.0,1661.0,2871.0,12.0,1.0,13.0,1.0,1.0,1.0,3.0
909.0,1.0,1.4,0.0,0.0,0.0,53.0,0.3,82.0,8.0,0.0,635.0,973.0,3187.0,12.0,9.0,4.0,1.0,0.0,0.0,2.0
1084.0,1.0,2.6,0.0,3.0,1.0,40.0,0.9,107.0,3.0,11.0,322.0,771.0,1945.0,15.0,4.0,10.0,1.0,1.0,0.0,1.0
1308.0,0.0,1.3,1.0,8.0,0.0,46.0,0.9,199.0,1.0,12.0,275.0,989.0,488.0,5.0,3.0,9.0,0.0,1.0,0.0,0.0
1778.0,0.0,0.5,0.0,0.0,0.0,15.0,0.5,102.0,3.0,0.0,1445.0,1954.0,1214.0,5.0,0.0,14.0,1.0,0.0,0.0,1.0
1701.0,1.0,1.6,1.0,3.0,0.0,10.0,0.3,194.0,8.0,7.0,550.0,1338.0,2598.0,12.0,9.0,6.0,0.0,1.0,0.0,2.0
772.0,1.0,2.4,1.0,1.0,1.0,10.0,0.5,80.0,4.0,2.0,1242.0,1712.0,3242.0,18.0,11.0,4.0,1.0,1.0,0.0,3.0
825.0,1.0,0.5,1.0,7.0,0.0,52.0,0.9,130.0,3.0,10.0,597.0,863.0,3534.0,10.0,4.0,6.0,0.0,1.0,0.0,3.0
1379.0,0.0,1.1,0.0,5.0,1.0,36.0,0.8,200.0,2.0,7.0,538.0,1376.0,3426.0,5.0,4.0,17.0,1.0,1.0,1.0,3.0
1166.0,0.0,2.0,0.0,3.0,1.0,25.0,0.8,198.0,5.0,4.0,59.0,1203.0,2488.0,13.0,5.0,15.0,1.0,0.0,0.0,2.0
1659.0,0.0,2.8,0.0,5.0,0.0,16.0,0.6,89.0,1.0,20.0,819.0,902.0,3255.0,19.0,14.0,9.0,0.0,0.0,1.0,3.0
826.0,1.0,2.4,1.0,0.0,1.0,58.0,0.3,88.0,4.0,1.0,179.0,786.0,2863.0,9.0,3.0,18.0,1.0,0.0,1.0,2.0
1564.0,0.0,2.3,0.0,4.0,1.0,25.0,0.5,189.0,6.0,17.0,1259.0,1965.0,1496.0,6.0,4.0,7.0,1.0,1.0,1.0,1.0
1957.0,0.0,0.9,1.0,11.0,0.0,31.0,0.6,181.0,3.0,16.0,396.0,1732.0,3801.0,12.0,0.0,7.0,1.0,0.0,1.0,3.0
1571.0,0.0,1.4,0.0,0.0,1.0,19.0,0.1,100.0,6.0,1.0,713.0,1398.0,666.0,12.0,10.0,13.0,1.0,1.0,0.0,0.0
1414.0,0.0,2.0,1.0,2.0,0.0,54.0,0.8,99.0,7.0,3.0,262.0,829.0,3799.0,17.0,7.0,7.0,1.0,0.0,1.0,3.0
1790.0,0.0,2.5,1.0,9.0,0.0,2.0,0.1,184.0,1.0,14.0,622.0,792.0,1366.0,7.0,0.0,20.0,1.0,1.0,1.0,1.0
645.0,0.0,0.5,0.0,1.0,0.0,41.0,1.0,197.0,7.0,10.0,327.0,580.0,2962.0,12.0,9.0,4.0,1.0,1.0,1.0,2.0
668.0,0.0,2.9,1.0,7.0,0.0,30.0,0.2,195.0,8.0,12.0,522.0,1056.0,2399.0,10.0,5.0,7.0,1.0,1.0,1.0,1.0
1652.0,1.0,1.1,1.0,1.0,0.0,36.0,0.7,89.0,4.0,5.0,313.0,1264.0,2338.0,12.0,8.0,20.0,0.0,0.0,0.0,2.0
1213.0,1.0,0.5,0.0,0.0,0.0,16.0,0.5,108.0,5.0,0.0,226.0,1248.0,2700.0,12.0,3.0,9.0,0.0,0.0,1.0,2.0
1272.0,1.0,2.5,1.0,0.0,0.0,22.0,0.9,133.0,6.0,8.0,605.0,669.0,2235.0,19.0,4.0,4.0,1.0,0.0,0.0,1.0
866.0,0.0,0.5,1.0,5.0,1.0,46.0,0.5,179.0,8.0,7.0,692.0,1686.0,3825.0,12.0,11.0,2.0,1.0,1.0,1.0,3.0
536.0,0.0,2.4,1.0,12.0,1.0,3.0,0.3,182.0,7.0,14.0,1386.0,1539.0,284.0,12.0,9.0,4.0,1.0,1.0,0.0,0.0
523.0,0.0,2.6,1.0,1.0,0.0,14.0,0.1,155.0,8.0,2.0,304.0,1042.0,1427.0,9.0,1.0,9.0,0.0,1.0,0.0,0.0
1753.0,0.0,0.5,1.0,0.0,1.0,31.0,0.1,134.0,1.0,18.0,1590.0,1926.0,1324.0,17.0,0.0,17.0,1.0,0.0,1.0,2.0
1218.0,0.0,1.8,1.0,1.0,1.0,14.0,0.5,147.0,3.0,4.0,229.0,616.0,398.0,17.0,0.0,5.0,1.0,0.0,0.0,0.0
1537.0,1.0,2.5,0.0,4.0,1.0,43.0,0.3,137.0,1.0,5.0,839.0,1131.0,3685.0,18.0,17.0,17.0,1.0,1.0,1.0,3.0
786.0,0.0,2.2,1.0,0.0,0.0,33.0,0.5,141.0,7.0,6.0,507.0,1697.0,2390.0,12.0,11.0,5.0,1.0,0.0,1.0,2.0
1678.0,0.0,2.1,0.0,3.0,1.0,64.0,0.9,134.0,3.0,11.0,436.0,536.0,278.0,19.0,0.0,10.0,1.0,1.0,0.0,0.0
1814.0,0.0,1.4,1.0,1.0,1.0,9.0,0.4,141.0,2.0,2.0,756.0,786.0,3556.0,18.0,12.0,16.0,1.0,0.0,0.0,3.0
1101.0,0.0,1.8,0.0,0.0,0.0,31.0,0.2,148.0,2.0,7.0,387.0,1269.0,2196.0,12.0,6.0,19.0,0.0,1.0,1.0,1.0
1461.0,0.0,2.4,1.0,3.0,1.0,40.0,0.5,141.0,7.0,4.0,1265.0,1298.0,3799.0,16.0,1.0,4.0,1.0,0.0,0.0,3.0
1216.0,0.0,3.0,0.0,4.0,0.0,47.0,0.4,199.0,3.0,7.0,1852.0,1967.0,2268.0,13.0,5.0,4.0,0.0,1.0,1.0,2.0
506.0,0.0,1.6,0.0,6.0,1.0,41.0,0.8,159.0,1.0,7.0,875.0,1025.0,2965.0,13.0,10.0,15.0,1.0,0.0,0.0,2.0
843.0,1.0,0.5,0.0,1.0,1.0,56.0,0.1,147.0,5.0,17.0,140.0,800.0,2341.0,10.0,1.0,20.0,1.0,1.0,1.0,1.0
742.0,0.0,2.2,1.0,4.0,0.0,56.0,0.2,190.0,7.0,14.0,577.0,1359.0,3557.0,16.0,11.0,12.0,0.0,1.0,1.0,3.0
1692.0,1.0,2.1,0.0,3.0,1.0,61.0,0.9,176.0,6.0,12.0,975.0,1996.0,1354.0,16.0,7.0,19.0,1.0,0.0,0.0,1.0
1485.0,0.0,1.0,0.0,2.0,1.0,32.0,0.7,84.0,2.0,9.0,510.0,1013.0,2147.0,19.0,1.0,11.0,1.0,1.0,0.0,2.0
1547.0,0.0,2.9,1.0,6.0,0.0,45.0,0.7,166.0,2.0,8.0,583.0,590.0,505.0,12.0,2.0,3.0,0.0,1.0,1.0,0.0
1692.0,0.0,2.3,1.0,4.0,1.0,46.0,0.9,139.0,1.0,6.0,674.0,1925.0,1394.0,16.0,10.0,6.0,1.0,1.0,0.0,1.0
637.0,0.0,2.3,0.0,3.0,1.0,60.0,0.8,97.0,4.0,4.0,1125.0,1989.0,374.0,18.0,4.0,8.0,1.0,0.0,1.0,0.0
1224.0,0.0,0.5,0.0,16.0,1.0,6.0,0.4,109.0,6.0,18.0,747.0,826.0,506.0,10.0,0.0,11.0,1.0,1.0,1.0,0.0
1356.0,0.0,2.8,0.0,0.0,0.0,29.0,0.5,198.0,6.0,0.0,1612.0,1983.0,3702.0,17.0,0.0,19.0,0.0,0.0,0.0,3.0
